"מזהה מכונה","מק״ט מכונה","שם מכונה","תיאור מכונה","תמונת מכונה","מזהה מתנה","מק״ט מתנה","שם מתנה","תיאור מתנה","תמונת מתנה"
"solo-31000","31000","Melitta Solo Silver","אספרסו טרי בלחיצת כפתור, גימור כסוף","img/31000.jpg","gift1","GIFT-001","Soundcore R60i True Wireless","אוזניות TWS עם נרתיק טעינה ותצוגת סוללה","img/g_51336.jpg"
"solo-31014","31014","Melitta Solo Black","אספרסו טרי בלחיצת כפתור, גימור שחור","img/31014.jpg","gift1","GIFT-001","Soundcore R60i True Wireless","אוזניות TWS עם נרתיק טעינה ותצוגת סוללה","img/g_51336.jpg"
"solo-31015","31015","Melitta Solo Pure Silver","אספרסו טרי בלחיצת כפתור, גימור כסוף","img/31015.jpg","gift1","GIFT-001","Soundcore R60i True Wireless","אוזניות TWS עם נרתיק טעינה ותצוגת סוללה","img/g_51336.jpg"
"solo-31016","31016","Melitta Solo Pure Black","אספרסו טרי בלחיצת כפתור, גימור שחור מלא","img/31016.jpg","gift1","GIFT-001","Soundcore R60i True Wireless","אוזניות TWS עם נרתיק טעינה ותצוגת סוללה","img/g_51336.jpg"
"solo-31017","31017","Melitta Solo Red","אספרסו טרי בלחיצת כפתור, גימור אדום","img/31017.jpg","gift1","GIFT-001","Soundcore R60i True Wireless","אוזניות TWS עם נרתיק טעינה ותצוגת סוללה","img/g_51336.jpg"
